"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override","scenario"
"1632","Bagwai","Babura",NA,0.2,0.2,0.49,0,-1,2022,-1,NA
"1633","Bakassi","Obubra",NA,0.41009749,0.41009749,0.49,0,-1,2022,-1,NA
"1634","Bakori","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2022,-1,NA
"1635","Bakura","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1636","Balanga","Alkaleri",NA,0.214165347,0.214165347,0.49,0,-1,2022,-1,NA
"1637","Bali","Keana",NA,0.32893977,0.32893977,0.49,0,-1,2022,-1,NA
"1638","Bama","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1639","Barikin Ladi","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2022,-1,NA
"1640","Baruten","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1641","Bassa1","Keana",NA,0.2,0.2,0.49,0,-1,2022,-1,NA
"1642","Bassa2","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2022,-1,NA
"1643","Batagarawa","Rimi",NA,0.373076926,0.373076926,0.49,0,-1,2022,-1,NA
"1644","Batsari","Rimi",NA,0.333333333,0.333333333,0.49,0,-1,2022,-1,NA
"1645","Bauchi","Alkaleri",NA,0.027077492,0.027077492,0.49,0,-1,2022,-1,NA
"1646","Baure","Babura",NA,0.357142857,0.357142857,0.49,0,-1,2022,-1,NA
"1647","Bayo","Alkaleri",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1648","Bebeji","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2022,-1,NA
"1649","Bekwara","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1650","Bende","Ngor-Okpala",NA,0.175925804,0.175925804,0.49,0,-1,2022,-1,NA
"1651","Biase","Ngor-Okpala",NA,0.588028311,0.588028311,0.49,0,-1,2022,-1,NA
"1652","Bichi","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2022,-1,NA
"1653","Bida","Oke-Ero",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1654","Billiri","Alkaleri",NA,0.333333333,0.333333333,0.49,0,-1,2022,-1,NA
"1655","Bindawa","Rimi",NA,0.1,0.1,0.49,0,-1,2022,-1,NA
"1656","Binji","Gawabawa",NA,0.25,0.25,0.49,0,-1,2022,-1,NA
"1657","Biriniwa","Taura",NA,0.166666667,0.166666667,0.49,0,-1,2022,-1,NA
"1658","Birni Kudu","Takali",NA,0.223983083,0.223983083,0.49,0,-1,2022,-1,NA
"1659","Birnin Kebbi","Birnin Kebbi",NA,0.572939706,0.572939706,0.49,0,-1,2022,-1,NA
"1660","Birnin Magaji","Rimi",NA,0.209995572,0.209995572,0.49,0,-1,2022,-1,NA
"1661","Birnin-Gwari","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2022,-1,NA
"1662","Biu","Darazo",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1663","Bodinga","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2022,-1,NA
"1664","Bogoro","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2022,-1,NA
"1665","Boki","Obubra",NA,0.25,0.25,0.49,0,-1,2022,-1,NA
"1666","Bokkos","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2022,-1,NA
"1667","Boluwaduro","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1668","Bomadi","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2022,-1,NA
"1669","Bonny","Nsit Ubium",NA,0.596547236,0.596547236,0.49,0,-1,2022,-1,NA
"1670","Borgu","Oke-Ero",NA,0.285714286,0.285714286,0.49,0,-1,2022,-1,NA
"1671","Boripe","Akinyele",NA,0.333333333,0.333333333,0.49,0,-1,2022,-1,NA
"1672","Bosso","Keana",NA,0.216058677,0.216058677,0.49,0,-1,2022,-1,NA
"1673","Brass","Ahoada West",NA,0.514466613,0.514466613,0.49,0,-1,2022,-1,NA
"1674","Buji","Takali",NA,0.178754999,0.178754999,0.49,0,-1,2022,-1,NA
"1675","Bukkuyum","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2022,-1,NA
"1676","Bungudu","Takali",NA,0.297222393,0.297222393,0.49,0,-1,2022,-1,NA
"1677","Bunkure","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2022,-1,NA
"1678","Bunza","Birnin Kebbi",NA,0.42225568,0.42225568,0.49,0,-1,2022,-1,NA
"1679","Bursari","Taura",NA,0.125,0.125,0.49,0,-1,2022,-1,NA
"1680","Buruku","Keana",NA,0.200000038,0.200000038,0.49,0,-1,2022,-1,NA
"1681","Burutu","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2022,-1,NA
"1682","Bwari","Giwa",NA,0.154268943,0.154268943,0.49,0,-1,2022,-1,NA
"1683","Calabar South","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2022,-1,NA
"1684","Calabar-Municipal","Nsit Ubium",NA,0.299739676,0.299739676,0.49,0,-1,2022,-1,NA
"1685","Chanchaga","Keana",NA,0.388965514,0.388965514,0.49,0,-1,2022,-1,NA
"1686","Charanchi","Rimi",NA,0.105263158,0.105263158,0.49,0,-1,2022,-1,NA
"1687","Chibok","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1688","Chikun","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2022,-1,NA
"1689","Dala","Alkaleri",NA,0.850046207,0.850046207,0.49,0,-1,2022,-1,NA
"1690","Damaturu","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1691","Damban","Darazo",NA,0.333333333,0.333333333,0.49,0,-1,2022,-1,NA
"1692","Dambatta","Babura",NA,0.333333333,0.333333333,0.49,0,-1,2022,-1,NA
"1693","Damboa","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1694","Dan Musa","Rimi",NA,0.209995572,0.209995572,0.49,0,-1,2022,-1,NA
"1695","Dandi","Birnin Kebbi",NA,0.34910543,0.34910543,0.49,0,-1,2022,-1,NA
"1696","Dandume","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2022,-1,NA
"1697","Dange-Shnsi","Gawabawa",NA,0.125,0.125,0.49,0,-1,2022,-1,NA
"1698","Danja","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2022,-1,NA
"1699","Darazo","Darazo",NA,0.161152612,0.161152612,0.49,0,-1,2022,-1,NA
"1700","Dass","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2022,-1,NA
"1701","Daura","Babura",NA,0.202230441,0.202230441,0.49,0,-1,2022,-1,NA
"1702","Dawakin Kudu","Gwarzo",NA,0.272727273,0.272727273,0.49,0,-1,2022,-1,NA
"1703","Dawakin Tofa","Taura",NA,0.181818182,0.181818182,0.49,0,-1,2022,-1,NA
"1704","Degema","Ahoada West",NA,0.25,0.25,0.49,0,-1,2022,-1,NA
"1705","Dekina","Owan East",NA,0.190297763,0.190297763,0.49,0,-1,2022,-1,NA
"1706","Demsa","Alkaleri",NA,0.701986849,0.701986849,0.49,0,-1,2022,-1,NA
"1707","Dikwa","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1708","Doguwa","Giwa",NA,0.130434783,0.130434783,0.49,0,-1,2022,-1,NA
"1709","Doma","Keana",NA,0.177187213,0.177187213,0.49,0,-1,2022,-1,NA
"1710","Donga","Keana",NA,0.284919607,0.284919607,0.49,0,-1,2022,-1,NA
"1711","Dukku","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1712","Dunukofia","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1713","Dutse","Takali",NA,0.148488039,0.148488039,0.49,0,-1,2022,-1,NA
"1714","Dutsi","Rimi",NA,0.230769231,0.230769231,0.49,0,-1,2022,-1,NA
"1715","Dutsin-Ma","Rimi",NA,0.209995572,0.209995572,0.49,0,-1,2022,-1,NA
"1716","Eastern Obolo","Nsit Ubium",NA,0.6,0.6,0.49,0,-1,2022,-1,NA
"1717","Ebonyi","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1718","Edati","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1719","Ede North","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1720","Ede South","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1721","Edu","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1722","Efon-Alayee","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1723","Egbado North","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1724","Egbado South","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1725","Egbeda","Akinyele",NA,0.107316809,0.107316809,0.49,0,-1,2022,-1,NA
"1726","Egbedore","Akinyele",NA,0.54187193,0.54187193,0.49,0,-1,2022,-1,NA
"1727","Egor","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1728","Ehime-Mbano","Ngor-Okpala",NA,0.591374486,0.591374486,0.49,0,-1,2022,-1,NA
"1729","Ejigbo","Akinyele",NA,0.215907256,0.215907256,0.49,0,-1,2022,-1,NA
"1730","Ekeremor","Ahoada West",NA,0.205928424,0.205928424,0.49,0,-1,2022,-1,NA
"1731","Eket","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2022,-1,NA
"1732","Ekiti","Oke-Ero",NA,0.744393955,0.744393955,0.49,0,-1,2022,-1,NA
"1733","Ekiti East","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1734","Ekiti South West","Oke-Ero",NA,0.462500057,0.462500057,0.49,0,-1,2022,-1,NA
"1735","Ekiti West","Oke-Ero",NA,0.162213602,0.162213602,0.49,0,-1,2022,-1,NA
"1736","Ekwusigo","Oru West",NA,0.75,0.75,0.49,0,-1,2022,-1,NA
"1737","Eleme","Ahoada West",NA,0.151693513,0.151693513,0.49,0,-1,2022,-1,NA
"1738","Emohua","Ahoada West",NA,0.166666667,0.166666667,0.49,0,-1,2022,-1,NA
"1739","Emure","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1740","Enugu East","Uzo-Uwani",NA,0.767123269,0.767123269,0.49,0,-1,2022,-1,NA
"1741","Enugu North","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1742","Enugu South","Uzo-Uwani",NA,0.514893508,0.514893508,0.49,0,-1,2022,-1,NA
"1743","Epe","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1744","Esan Central","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1745","Esan North East","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1746","Esan South East","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1747","Esan West","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1748","Ese-Odo","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1749","Esit Eket","Nsit Ubium",NA,0.071428571,0.071428571,0.49,0,-1,2022,-1,NA
"1750","Essien Udim","Ngor-Okpala",NA,0.219281699,0.219281699,0.49,0,-1,2022,-1,NA
"1751","Etche","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2022,-1,NA
"1752","Ethiope East","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2022,-1,NA
"1753","Ethiope West","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2022,-1,NA
"1754","Etim Ekpo","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2022,-1,NA
"1755","Etinan","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2022,-1,NA
"1756","Eti-Osa","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2022,-1,NA
"1757","Etsako Central","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1758","Etsako East","Owan East",NA,0.077954241,0.077954241,0.49,0,-1,2022,-1,NA
"1759","Etsako West","Owan East",NA,0.080351586,0.080351586,0.49,0,-1,2022,-1,NA
"1760","Etung","Obubra",NA,0.2,0.2,0.49,0,-1,2022,-1,NA
"1761","Ewekoro","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1762","Ezeagu","Uzo-Uwani",NA,0.434581511,0.434581511,0.49,0,-1,2022,-1,NA
"1763","Ezinihitte","Ngor-Okpala",NA,0.388958352,0.388958352,0.49,0,-1,2022,-1,NA
"1764","Ezza North","Owan East",NA,0.19047619,0.19047619,0.49,0,-1,2022,-1,NA
"1765","Ezza South","Obubra",NA,0.478845956,0.478845956,0.49,0,-1,2022,-1,NA
"1766","Fagge","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2022,-1,NA
"1767","Fakai","Birnin Kebbi",NA,0.666666667,0.666666667,0.49,0,-1,2022,-1,NA
"1768","Faskari","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2022,-1,NA
"1769","Fika","Darazo",NA,0.095238095,0.095238095,0.49,0,-1,2022,-1,NA
"1770","Fufore","Alkaleri",NA,0.139280114,0.139280114,0.49,0,-1,2022,-1,NA
"1771","Funakaye","Alkaleri",NA,0.045454545,0.045454545,0.49,0,-1,2022,-1,NA
"1772","Fune","Darazo",NA,0.03153893,0.03153893,0.49,0,-1,2022,-1,NA
"1773","Funtua","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2022,-1,NA
"1774","Gabasawa","Taura",NA,0.174928041,0.174928041,0.49,0,-1,2022,-1,NA
"1775","Gada","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2022,-1,NA
"1776","Gagarawa","Taura",NA,0.174928041,0.174928041,0.49,0,-1,2022,-1,NA
"1777","Gamawa","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2022,-1,NA
"1778","Ganaye","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2022,-1,NA
"1779","Ganjuwa","Darazo",NA,0.101826237,0.101826237,0.49,0,-1,2022,-1,NA
"1780","Garki","Babura",NA,0.666666667,0.666666667,0.49,0,-1,2022,-1,NA
"1781","Garko","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2022,-1,NA
"1782","Garum Mallam","Gwarzo",NA,0.153846154,0.153846154,0.49,0,-1,2022,-1,NA
"1783","Gashaka","Oru West",NA,0.411077428,0.411077428,0.49,0,-1,2022,-1,NA
"1784","Gassol","Keana",NA,0.086136445,0.086136445,0.49,0,-1,2022,-1,NA
"1785","Gawabawa","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2022,-1,NA
"1786","Gaya","Gwarzo",NA,0.166666667,0.166666667,0.49,0,-1,2022,-1,NA
"1787","Gbako","Oke-Ero",NA,0.461538462,0.461538462,0.49,0,-1,2022,-1,NA
"1788","Gboko","Keana",NA,0.140281332,0.140281332,0.49,0,-1,2022,-1,NA
"1789","Gboyin","Obubra",NA,0.438502596,0.438502596,0.49,0,-1,2022,-1,NA
"1790","Geidam","Babura",NA,0.349277359,0.349277359,0.49,0,-1,2022,-1,NA
"1791","Gezawa","Gwarzo",NA,0.25,0.25,0.49,0,-1,2022,-1,NA
"1792","Giade","Darazo",NA,0.142857143,0.142857143,0.49,0,-1,2022,-1,NA
"1793","Gireri","Darazo",NA,0.080992121,0.080992121,0.49,0,-1,2022,-1,NA
"1794","Giwa","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2022,-1,NA
"1795","Gokana","Nsit Ubium",NA,0.182111551,0.182111551,0.49,0,-1,2022,-1,NA
"1796","Gombe","Alkaleri",NA,0.116169555,0.116169555,0.49,0,-1,2022,-1,NA
"1797","Gombi","Alkaleri",NA,0.208835269,0.208835269,0.49,0,-1,2022,-1,NA
"1798","Goronyo","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2022,-1,NA
"1799","Gubio","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2022,-1,NA
"1800","Gudu","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2022,-1,NA
"1801","Gujba","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1802","Gulani","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2022,-1,NA
"1803","Guma","Keana",NA,0.315463952,0.315463952,0.49,0,-1,2022,-1,NA
"1804","Gumel","Babura",NA,0.25,0.25,0.49,0,-1,2022,-1,NA
"1805","Gummi","Birnin Kebbi",NA,0.42225568,0.42225568,0.49,0,-1,2022,-1,NA
"1806","Gurara","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1807","Guri","Taura",NA,0.174928041,0.174928041,0.49,0,-1,2022,-1,NA
"1808","Gusau","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1809","Guyuk","Alkaleri",NA,0.480706358,0.480706358,0.49,0,-1,2022,-1,NA
"1810","Guzamala","Babura",NA,0.349277359,0.349277359,0.49,0,-1,2022,-1,NA
"1811","Gwagwalada","Keana",NA,0.067621303,0.067621303,0.49,0,-1,2022,-1,NA
"1812","Gwale","Alkaleri",NA,0.45946767,0.45946767,0.49,0,-1,2022,-1,NA
"1813","Gwandu","Birnin Kebbi",NA,0.529411765,0.529411765,0.49,0,-1,2022,-1,NA
"1814","Gwaram","Takali",NA,0.223498732,0.223498732,0.49,0,-1,2022,-1,NA
"1815","Gwarzo","Gwarzo",NA,0.4,0.4,0.49,0,-1,2022,-1,NA
"1816","Gwer East","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1817","Gwer West","Keana",NA,0.333333333,0.333333333,0.49,0,-1,2022,-1,NA
"1818","Gwiwa","Babura",NA,0.333333333,0.333333333,0.49,0,-1,2022,-1,NA
"1819","Gwoza","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1820","Hadejia","Taura",NA,0.174928041,0.174928041,0.49,0,-1,2022,-1,NA
"1821","Hawul","Darazo",NA,0.221538462,0.221538462,0.49,0,-1,2022,-1,NA
"1822","Hong","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2022,-1,NA
"1823","Ibadan North","Owan East",NA,0.249042174,0.249042174,0.49,0,-1,2022,-1,NA
"1824","Ibadan North East","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1825","Ibadan North West","Owan East",NA,0.117739486,0.117739486,0.49,0,-1,2022,-1,NA
"1826","Ibadan South East","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1827","Ibadan South West","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1828","Ibaji","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1829","Ibarapa Central","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1830","Ibarapa East","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1831","Ibarapa North","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1832","Ibeju-Lekki","Uzo-Uwani",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1833","Ibeno","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2022,-1,NA
"1834","Ibesikpo Asutan","Nsit Ubium",NA,0.234042549,0.234042549,0.49,0,-1,2022,-1,NA
"1835","Ibi","Keana",NA,0.177187213,0.177187213,0.49,0,-1,2022,-1,NA
"1836","Ibiono Ibom","Ngor-Okpala",NA,0.142335763,0.142335763,0.49,0,-1,2022,-1,NA
"1837","Idah","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1838","Idanre","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1839","Ideato North","Oru West",NA,0.761610688,0.761610688,0.49,0,-1,2022,-1,NA
"1840","Ideato South","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2022,-1,NA
"1841","Idemili North","Uzo-Uwani",NA,0.622180482,0.622180482,0.49,0,-1,2022,-1,NA
"1842","Idemili South","Oru West",NA,0.306003708,0.306003708,0.49,0,-1,2022,-1,NA
"1843","Ido","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1844","Idosi-Osi","Oke-Ero",NA,0.088017211,0.088017211,0.49,0,-1,2022,-1,NA
"1845","Ifako-Ijaye","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1846","Ife Central","Akinyele",NA,0.529411659,0.529411659,0.49,0,-1,2022,-1,NA
"1847","Ife East","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1848","Ife North","Akinyele",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1849","Ife South","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1850","Ifedayo","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1851","Ifedore","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1852","Ifelodun1","Oke-Ero",NA,0.139769018,0.139769018,0.49,0,-1,2022,-1,NA
"1853","Ifelodun2","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1854","Ifo","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1855","Igabi","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2022,-1,NA
"1856","Igalamela-Odolu","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1857","Igbo-Etiti","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1858","Igbo-Eze North","Uzo-Uwani",NA,0.085378639,0.085378639,0.49,0,-1,2022,-1,NA
"1859","Igbo-Eze South","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1860","Igueben","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1861","Ihiala","Oru West",NA,0.289999974,0.289999974,0.49,0,-1,2022,-1,NA
"1862","Ihitte-Uboma","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2022,-1,NA
"1863","Ijebu East","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1864","Ijebu North","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1865","Ijebu North East","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1866","Ijebu ode","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1867","Ijero","Oke-Ero",NA,0.197871528,0.197871528,0.49,0,-1,2022,-1,NA
"1868","Ijumu","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1869","Ika","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2022,-1,NA
"1870","Ika North East","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1871","Ika South","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1872","Ikara","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2022,-1,NA
"1873","Ikeduru","Ngor-Okpala",NA,0.185892623,0.185892623,0.49,0,-1,2022,-1,NA
"1874","Ikeja","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1875","Ikenne","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1876","Ikere","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1877","Ikole","Oke-Ero",NA,0.026328373,0.026328373,0.49,0,-1,2022,-1,NA
"1878","Ikom","Obubra",NA,0.41009749,0.41009749,0.49,0,-1,2022,-1,NA
"1879","Ikono","Ngor-Okpala",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1880","Ikorodu","Uzo-Uwani",NA,0.159507461,0.159507461,0.49,0,-1,2022,-1,NA
"1881","Ikot Abasi","Nsit Ubium",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1882","Ikot Ekpene","Ngor-Okpala",NA,0.163310644,0.163310644,0.49,0,-1,2022,-1,NA
"1883","Ikpoba-Okha","Uzo-Uwani",NA,0.171130973,0.171130973,0.49,0,-1,2022,-1,NA
"1884","Ikwerre","Oru West",NA,0.319487623,0.319487623,0.49,0,-1,2022,-1,NA
"1885","Ikwo","Obubra",NA,0.473701419,0.473701419,0.49,0,-1,2022,-1,NA
"1886","Ikwuano","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2022,-1,NA
"1887","Ila","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1888","Ilaje","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1889","Ilemeji","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1890","Ile-Oluji-Okeigbo","Oke-Ero",NA,0.444444444,0.444444444,0.49,0,-1,2022,-1,NA
"1891","Ilesha East","Owan East",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1892","Ilesha West","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1893","Illela","Gawabawa",NA,0.023485083,0.023485083,0.49,0,-1,2022,-1,NA
"1894","Ilorin East","Oke-Ero",NA,0.388931756,0.388931756,0.49,0,-1,2022,-1,NA
"1895","Ilorin South","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1896","Ilorin West","Owan East",NA,0.335999959,0.335999959,0.49,0,-1,2022,-1,NA
"1897","Imeko-Afon","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1898","Ingawa","Rimi",NA,0.055555556,0.055555556,0.49,0,-1,2022,-1,NA
"1899","Ini","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2022,-1,NA
"1900","Ipokia","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2022,-1,NA
"1901","Irele","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1902","Irepo","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1903","Irepodun1","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2022,-1,NA
"1904","Irepodun2","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1905","Irepodun-Ifelodun","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1906","Irewole","Akinyele",NA,0.477272783,0.477272783,0.49,0,-1,2022,-1,NA
"1907","Isa","Rimi",NA,0.209995572,0.209995572,0.49,0,-1,2022,-1,NA
"1908","Ise-Orun","Oke-Ero",NA,0.5,0.5,0.49,0,-1,2022,-1,NA
"1909","Iseyin","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2022,-1,NA
"1910","Ishielu","Owan East",NA,0.234735547,0.234735547,0.49,0,-1,2022,-1,NA
"1911","Isiala Mbano","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2022,-1,NA
"1912","Isiala-Ngwa North","Ngor-Okpala",NA,0.339461936,0.339461936,0.49,0,-1,2022,-1,NA
