"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override","scenario"
"57","Aniocha South","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"58","Anka","Darazo",NA,0.081656815,0.081656815,0.49,0,-1,2020,-1,"Scenario 1"
"59","Ankpa","Owan East",NA,0.278942779,0.278942779,0.49,0,-1,2020,-1,"Scenario 1"
"60","Apa","Keana",NA,0.177187213,0.177187213,0.49,0,-1,2020,-1,"Scenario 1"
"61","Apapa","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2020,-1,"Scenario 1"
"62","Ardo-Kola","Keana",NA,0.25,0.25,0.49,0,-1,2020,-1,"Scenario 1"
"63","Arewa-Dandi","Birnin Kebbi",NA,0.666666667,0.666666667,0.49,0,-1,2020,-1,"Scenario 1"
"64","Argungu","Birnin Kebbi",NA,0.591750026,0.591750026,0.49,0,-1,2020,-1,"Scenario 1"
"65","Arochukwu","Ngor-Okpala",NA,0.283373403,0.283373403,0.49,0,-1,2020,-1,"Scenario 1"
"66","Asa","Oke-Ero",NA,0.333333333,0.333333333,0.49,0,-1,2020,-1,"Scenario 1"
"67","Asari-Toru","Ahoada West",NA,0.442896713,0.442896713,0.49,0,-1,2020,-1,"Scenario 1"
"68","Askira-Uba","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"69","Atakumosa East","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"70","Atakumosa West","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"71","Atiba","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"72","Atigbo","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"73","Augie","Birnin Kebbi",NA,0.538461538,0.538461538,0.49,0,-1,2020,-1,"Scenario 1"
"74","Auyo","Taura",NA,0.75,0.75,0.49,0,-1,2020,-1,"Scenario 1"
"75","Awe","Keana",NA,0.177187213,0.177187213,0.49,0,-1,2020,-1,"Scenario 1"
"76","Awgu","Oru West",NA,0.411077428,0.411077428,0.49,0,-1,2020,-1,"Scenario 1"
"77","Awka North","Uzo-Uwani",NA,0.666666667,0.666666667,0.49,0,-1,2020,-1,"Scenario 1"
"78","Awka South","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"79","Ayamelum","Uzo-Uwani",NA,0.76666668,0.76666668,0.49,0,-1,2020,-1,"Scenario 1"
"80","Babura","Babura",NA,0.495944351,0.495944351,0.49,0,-1,2020,-1,"Scenario 1"
"81","Badagry","Uzo-Uwani",NA,0.420192485,0.420192485,0.49,0,-1,2020,-1,"Scenario 1"
"82","Bade","Taura",NA,0.047619048,0.047619048,0.49,0,-1,2020,-1,"Scenario 1"
"83","Bagudo","Birnin Kebbi",NA,0.345276873,0.345276873,0.49,0,-1,2020,-1,"Scenario 1"
"84","Bagwai","Babura",NA,0.2,0.2,0.49,0,-1,2020,-1,"Scenario 1"
"85","Bakassi","Obubra",NA,0.41009749,0.41009749,0.49,0,-1,2020,-1,"Scenario 1"
"86","Bakori","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2020,-1,"Scenario 1"
"87","Bakura","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"88","Balanga","Alkaleri",NA,0.214165347,0.214165347,0.49,0,-1,2020,-1,"Scenario 1"
"89","Bali","Keana",NA,0.32893977,0.32893977,0.49,0,-1,2020,-1,"Scenario 1"
"90","Bama","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"91","Barikin Ladi","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2020,-1,"Scenario 1"
"92","Baruten","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"93","Bassa1","Keana",NA,0.2,0.2,0.49,0,-1,2020,-1,"Scenario 1"
"94","Bassa2","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2020,-1,"Scenario 1"
"95","Batagarawa","Rimi",NA,0.373076926,0.373076926,0.49,0,-1,2020,-1,"Scenario 1"
"96","Batsari","Rimi",NA,0.333333333,0.333333333,0.49,0,-1,2020,-1,"Scenario 1"
"97","Bauchi","Alkaleri",NA,0.027077492,0.027077492,0.49,0,-1,2020,-1,"Scenario 1"
"98","Baure","Babura",NA,0.357142857,0.357142857,0.49,0,-1,2020,-1,"Scenario 1"
"99","Bayo","Alkaleri",NA,0.5,0.5,0.49,0,-1,2020,-1,"Scenario 1"
"100","Bebeji","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2020,-1,"Scenario 1"
"101","Bekwara","Oke-Ero",NA,0.246839589,0.246839589,0.49,0,-1,2020,-1,"Scenario 1"
"102","Bende","Ngor-Okpala",NA,0.175925804,0.175925804,0.49,0,-1,2020,-1,"Scenario 1"
"103","Biase","Ngor-Okpala",NA,0.588028311,0.588028311,0.49,0,-1,2020,-1,"Scenario 1"
"104","Bichi","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2020,-1,"Scenario 1"
"105","Bida","Oke-Ero",NA,0.5,0.5,0.49,0,-1,2020,-1,"Scenario 1"
"106","Billiri","Alkaleri",NA,0.333333333,0.333333333,0.49,0,-1,2020,-1,"Scenario 1"
"107","Bindawa","Rimi",NA,0.1,0.1,0.49,0,-1,2020,-1,"Scenario 1"
"108","Binji","Gawabawa",NA,0.25,0.25,0.49,0,-1,2020,-1,"Scenario 1"
"109","Biriniwa","Taura",NA,0.166666667,0.166666667,0.49,0,-1,2020,-1,"Scenario 1"
"110","Birni Kudu","Takali",NA,0.223983083,0.223983083,0.49,0,-1,2020,-1,"Scenario 1"
"111","Birnin Kebbi","Birnin Kebbi",NA,0.572939706,0.572939706,0.49,0,-1,2020,-1,"Scenario 1"
"112","Birnin Magaji","Rimi",NA,0.209995572,0.209995572,0.49,0,-1,2020,-1,"Scenario 1"
"113","Birnin-Gwari","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2020,-1,"Scenario 1"
"114","Biu","Darazo",NA,0.5,0.5,0.49,0,-1,2020,-1,"Scenario 1"
"115","Bodinga","Gawabawa",NA,0.106631444,0.106631444,0.49,0,-1,2020,-1,"Scenario 1"
"116","Bogoro","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2020,-1,"Scenario 1"
"117","Boki","Obubra",NA,0.25,0.25,0.49,0,-1,2020,-1,"Scenario 1"
"118","Bokkos","Giwa",NA,0.130508332,0.130508332,0.49,0,-1,2020,-1,"Scenario 1"
"119","Boluwaduro","Akinyele",NA,0.154926235,0.154926235,0.49,0,-1,2020,-1,"Scenario 1"
"120","Bomadi","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2020,-1,"Scenario 1"
"121","Bonny","Nsit Ubium",NA,0.596547236,0.596547236,0.49,0,-1,2020,-1,"Scenario 1"
"122","Borgu","Oke-Ero",NA,0.285714286,0.285714286,0.49,0,-1,2020,-1,"Scenario 1"
"123","Boripe","Akinyele",NA,0.333333333,0.333333333,0.49,0,-1,2020,-1,"Scenario 1"
"124","Bosso","Keana",NA,0.216058677,0.216058677,0.49,0,-1,2020,-1,"Scenario 1"
"125","Brass","Ahoada West",NA,0.514466613,0.514466613,0.49,0,-1,2020,-1,"Scenario 1"
"126","Buji","Takali",NA,0.178754999,0.178754999,0.49,0,-1,2020,-1,"Scenario 1"
"127","Bukkuyum","Alkaleri",NA,0.234127553,0.234127553,0.49,0,-1,2020,-1,"Scenario 1"
"128","Bungudu","Takali",NA,0.297222393,0.297222393,0.49,0,-1,2020,-1,"Scenario 1"
"129","Bunkure","Gwarzo",NA,0.172172547,0.172172547,0.49,0,-1,2020,-1,"Scenario 1"
